t,ECG 7
1970-01-01 00:00:00,2.0
1970-01-01 00:00:01,-0.02680555
1970-01-01 00:00:02,-0.041040161
1970-01-01 00:00:03,-0.02680555
1970-01-01 00:00:04,-0.02680555
1970-01-01 00:00:05,-0.055274771
1970-01-01 00:00:06,-0.005453635
1970-01-01 00:00:07,0.03013289
1970-01-01 00:00:08,0.072836721
1970-01-01 00:00:09,0.058602111
1970-01-01 00:00:10,0.037250196
1970-01-01 00:00:11,0.10842325
1970-01-01 00:00:12,0.058602111
1970-01-01 00:00:13,0.01589828
1970-01-01 00:00:14,0.065719416
1970-01-01 00:00:15,0.0016636701
1970-01-01 00:00:16,-0.005453635
1970-01-01 00:00:17,0.0016636701
1970-01-01 00:00:18,-0.01257094
1970-01-01 00:00:19,-0.033922855
1970-01-01 00:00:20,-0.01257094
1970-01-01 00:00:21,-0.019688245
1970-01-01 00:00:22,0.0016636701
1970-01-01 00:00:23,-0.019688245
1970-01-01 00:00:24,0.072836721
1970-01-01 00:00:25,0.23653474
1970-01-01 00:00:26,0.35041162
1970-01-01 00:00:27,0.087071331
1970-01-01 00:00:28,-0.67448031
1970-01-01 00:00:29,-1.5854954
1970-01-01 00:00:30,-2.4466893
1970-01-01 00:00:31,-3.2438275
1970-01-01 00:00:32,-4.0409656
1970-01-01 00:00:33,-4.6530539
1970-01-01 00:00:34,-4.9519807
1970-01-01 00:00:35,-4.9377461
1970-01-01 00:00:36,-4.631702
1970-01-01 00:00:37,-3.9769099
1970-01-01 00:00:38,-3.279414
1970-01-01 00:00:39,-2.766968
1970-01-01 00:00:40,-2.1619971
1970-01-01 00:00:41,-1.3150378
1970-01-01 00:00:42,-0.54636882
1970-01-01 00:00:43,-0.062392076
1970-01-01 00:00:44,0.12977516
1970-01-01 00:00:45,0.23653474
1970-01-01 00:00:46,0.35041162
1970-01-01 00:00:47,0.44293659
1970-01-01 00:00:48,0.40023276
1970-01-01 00:00:49,0.33617701
1970-01-01 00:00:50,0.26500396
1970-01-01 00:00:51,0.25788665
1970-01-01 00:00:52,0.28635587
1970-01-01 00:00:53,0.3290597
1970-01-01 00:00:54,0.38599815
1970-01-01 00:00:55,0.37888084
1970-01-01 00:00:56,0.35041162
1970-01-01 00:00:57,0.34329431
1970-01-01 00:00:58,0.37176354
1970-01-01 00:00:59,0.37888084
1970-01-01 00:01:00,0.40023276
1970-01-01 00:01:01,0.35041162
