t,ECG 0
1970-01-01 00:00:00,1.0
1970-01-01 00:00:01,-0.70039293
1970-01-01 00:00:02,-0.70039293
1970-01-01 00:00:03,-0.70039293
1970-01-01 00:00:04,-0.70039293
1970-01-01 00:00:05,-0.74681564
1970-01-01 00:00:06,-0.70039293
1970-01-01 00:00:07,-0.63849599
1970-01-01 00:00:08,-0.6849187
1970-01-01 00:00:09,-0.66944446
1970-01-01 00:00:10,-0.7313414
1970-01-01 00:00:11,-0.66944446
1970-01-01 00:00:12,-0.7313414
1970-01-01 00:00:13,-0.74681564
1970-01-01 00:00:14,-0.7313414
1970-01-01 00:00:15,-0.7313414
1970-01-01 00:00:16,-0.76228987
1970-01-01 00:00:17,-0.7313414
1970-01-01 00:00:18,-0.76228987
1970-01-01 00:00:19,-0.76228987
1970-01-01 00:00:20,-0.76228987
1970-01-01 00:00:21,-0.79323835
1970-01-01 00:00:22,-0.901558
1970-01-01 00:00:23,-0.82418682
1970-01-01 00:00:24,-0.79323835
1970-01-01 00:00:25,-0.87060953
1970-01-01 00:00:26,-0.83966105
1970-01-01 00:00:27,-0.87060953
1970-01-01 00:00:28,-0.901558
1970-01-01 00:00:29,-0.88608376
1970-01-01 00:00:30,-0.94798071
1970-01-01 00:00:31,-0.94798071
1970-01-01 00:00:32,-0.96345494
1970-01-01 00:00:33,-0.97892918
1970-01-01 00:00:34,-0.94798071
1970-01-01 00:00:35,-0.94798071
1970-01-01 00:00:36,-0.94798071
1970-01-01 00:00:37,-0.97892918
1970-01-01 00:00:38,-1.0253519
1970-01-01 00:00:39,-1.1027231
1970-01-01 00:00:40,-0.99440341
1970-01-01 00:00:41,-1.0253519
1970-01-01 00:00:42,-0.97892918
1970-01-01 00:00:43,-1.0408261
1970-01-01 00:00:44,-0.99440341
1970-01-01 00:00:45,-0.99440341
1970-01-01 00:00:46,-0.97892918
1970-01-01 00:00:47,-0.93250647
1970-01-01 00:00:48,-0.88608376
1970-01-01 00:00:49,-0.91703223
1970-01-01 00:00:50,-0.901558
1970-01-01 00:00:51,-0.88608376
1970-01-01 00:00:52,-0.74681564
1970-01-01 00:00:53,-0.76228987
1970-01-01 00:00:54,-0.74681564
1970-01-01 00:00:55,-0.71586717
1970-01-01 00:00:56,-0.76228987
1970-01-01 00:00:57,-0.63849599
1970-01-01 00:00:58,-0.63849599
1970-01-01 00:00:59,-0.6849187
1970-01-01 00:01:00,-0.60754752
1970-01-01 00:01:01,-0.56112481
1970-01-01 00:01:02,-0.60754752
1970-01-01 00:01:03,-0.65397022
1970-01-01 00:01:04,-0.60754752
1970-01-01 00:01:05,-0.53017634
1970-01-01 00:01:06,-0.56112481
1970-01-01 00:01:07,-0.63849599
1970-01-01 00:01:08,-0.57659904
1970-01-01 00:01:09,-0.57659904
1970-01-01 00:01:10,-0.54565057
1970-01-01 00:01:11,-0.56112481
1970-01-01 00:01:12,-0.60754752
1970-01-01 00:01:13,-0.62302175
1970-01-01 00:01:14,-0.63849599
1970-01-01 00:01:15,-0.62302175
1970-01-01 00:01:16,-0.63849599
1970-01-01 00:01:17,-0.66944446
1970-01-01 00:01:18,-0.70039293
1970-01-01 00:01:19,-0.7313414
1970-01-01 00:01:20,-0.66944446
1970-01-01 00:01:21,-0.63849599
1970-01-01 00:01:22,-0.6849187
1970-01-01 00:01:23,-0.71586717
1970-01-01 00:01:24,-0.6849187
1970-01-01 00:01:25,-0.74681564
1970-01-01 00:01:26,-0.70039293
1970-01-01 00:01:27,-0.70039293
1970-01-01 00:01:28,-0.71586717
1970-01-01 00:01:29,-0.74681564
1970-01-01 00:01:30,-0.66944446
1970-01-01 00:01:31,-0.71586717
1970-01-01 00:01:32,-0.74681564
1970-01-01 00:01:33,-0.71586717
1970-01-01 00:01:34,-0.7313414
1970-01-01 00:01:35,-0.74681564
1970-01-01 00:01:36,-0.80871258
1970-01-01 00:01:37,-0.76228987
1970-01-01 00:01:38,-0.66944446
1970-01-01 00:01:39,-0.7313414
1970-01-01 00:01:40,-0.71586717
1970-01-01 00:01:41,-0.66944446
1970-01-01 00:01:42,-0.7313414
1970-01-01 00:01:43,-0.74681564
1970-01-01 00:01:44,-0.71586717
1970-01-01 00:01:45,-0.7313414
1970-01-01 00:01:46,-0.71586717
1970-01-01 00:01:47,-0.76228987
1970-01-01 00:01:48,-0.6849187
1970-01-01 00:01:49,-0.7313414
1970-01-01 00:01:50,-0.6849187
1970-01-01 00:01:51,-0.65397022
1970-01-01 00:01:52,-0.6849187
1970-01-01 00:01:53,-0.65397022
1970-01-01 00:01:54,-0.6849187
1970-01-01 00:01:55,-0.6849187
1970-01-01 00:01:56,-0.6849187
1970-01-01 00:01:57,-0.66944446
1970-01-01 00:01:58,-0.66944446
1970-01-01 00:01:59,-0.59207328
1970-01-01 00:02:00,-0.59207328
1970-01-01 00:02:01,-0.48375363
1970-01-01 00:02:02,-0.45280516
1970-01-01 00:02:03,-0.39090821
1970-01-01 00:02:04,-0.34448551
1970-01-01 00:02:05,-0.2980628
1970-01-01 00:02:06,-0.28258856
1970-01-01 00:02:07,-0.20521738
1970-01-01 00:02:08,-0.1278462
1970-01-01 00:02:09,-0.17426891
1970-01-01 00:02:10,-0.25164009
1970-01-01 00:02:11,-0.18974315
1970-01-01 00:02:12,-0.26711433
1970-01-01 00:02:13,-0.32901127
1970-01-01 00:02:14,-0.43733092
1970-01-01 00:02:15,-0.45280516
1970-01-01 00:02:16,-0.5147021
1970-01-01 00:02:17,-0.54565057
1970-01-01 00:02:18,-0.56112481
1970-01-01 00:02:19,-0.54565057
1970-01-01 00:02:20,-0.60754752
1970-01-01 00:02:21,-0.56112481
1970-01-01 00:02:22,-0.71586717
1970-01-01 00:02:23,-0.77776411
1970-01-01 00:02:24,-0.80871258
1970-01-01 00:02:25,-0.85513529
1970-01-01 00:02:26,-0.94798071
1970-01-01 00:02:27,-0.93250647
1970-01-01 00:02:28,-0.94798071
1970-01-01 00:02:29,-0.96345494
1970-01-01 00:02:30,-0.99440341
1970-01-01 00:02:31,-0.91703223
1970-01-01 00:02:32,-0.97892918
1970-01-01 00:02:33,-1.0253519
1970-01-01 00:02:34,-1.0408261
1970-01-01 00:02:35,-0.99440341
1970-01-01 00:02:36,-0.96345494
1970-01-01 00:02:37,-0.96345494
1970-01-01 00:02:38,-0.94798071
1970-01-01 00:02:39,-1.0253519
1970-01-01 00:02:40,-1.0408261
1970-01-01 00:02:41,-1.0408261
1970-01-01 00:02:42,-0.94798071
1970-01-01 00:02:43,-0.99440341
1970-01-01 00:02:44,-1.0098776
1970-01-01 00:02:45,-0.99440341
1970-01-01 00:02:46,-0.96345494
1970-01-01 00:02:47,-0.91703223
1970-01-01 00:02:48,-0.7313414
1970-01-01 00:02:49,-0.56112481
1970-01-01 00:02:50,-0.34448551
1970-01-01 00:02:51,-0.019526551
1970-01-01 00:02:52,0.38280358
1970-01-01 00:02:53,0.75418524
1970-01-01 00:02:54,1.001773
1970-01-01 00:02:55,1.1719896
1970-01-01 00:02:56,1.2184123
1970-01-01 00:02:57,1.2493608
1970-01-01 00:02:58,1.2493608
1970-01-01 00:02:59,1.2184123
1970-01-01 00:03:00,1.1100927
1970-01-01 00:03:01,1.0327215
1970-01-01 00:03:02,1.0481957
1970-01-01 00:03:03,1.1565154
1970-01-01 00:03:04,1.264835
1970-01-01 00:03:05,1.2338866
1970-01-01 00:03:06,1.001773
1970-01-01 00:03:07,0.46017476
1970-01-01 00:03:08,-0.035000787
1970-01-01 00:03:09,-0.34448551
1970-01-01 00:03:10,-0.28258856
1970-01-01 00:03:11,0.22806122
1970-01-01 00:03:12,0.6922883
1970-01-01 00:03:13,0.86250489
1970-01-01 00:03:14,0.67681406
1970-01-01 00:03:15,0.27448393
1970-01-01 00:03:16,-0.31353703
1970-01-01 00:03:17,-0.76228987
1970-01-01 00:03:18,-0.94798071
1970-01-01 00:03:19,-0.901558
1970-01-01 00:03:20,-0.87060953
1970-01-01 00:03:21,-0.83966105
1970-01-01 00:03:22,-0.901558
1970-01-01 00:03:23,-0.99440341
1970-01-01 00:03:24,-1.0253519
1970-01-01 00:03:25,-1.0717746
1970-01-01 00:03:26,-1.0563004
1970-01-01 00:03:27,-1.1181973
1970-01-01 00:03:28,-1.1027231
1970-01-01 00:03:29,-1.0253519
1970-01-01 00:03:30,-1.0098776
1970-01-01 00:03:31,-1.0872488
1970-01-01 00:03:32,-1.0717746
1970-01-01 00:03:33,-1.1027231
1970-01-01 00:03:34,-1.0563004
1970-01-01 00:03:35,-1.0253519
1970-01-01 00:03:36,-1.0563004
1970-01-01 00:03:37,-1.1027231
1970-01-01 00:03:38,-1.0408261
1970-01-01 00:03:39,-0.97892918
1970-01-01 00:03:40,-0.99440341
1970-01-01 00:03:41,-1.0098776
1970-01-01 00:03:42,-1.0408261
