t,ECG 6
1970-01-01 00:00:00,1.0
1970-01-01 00:00:01,-0.59122705
1970-01-01 00:00:02,-0.62327965
1970-01-01 00:00:03,-0.64464806
1970-01-01 00:00:04,-0.62327965
1970-01-01 00:00:05,-0.68738487
1970-01-01 00:00:06,-0.69806907
1970-01-01 00:00:07,-0.66601646
1970-01-01 00:00:08,-0.67670067
1970-01-01 00:00:09,-0.65533226
1970-01-01 00:00:10,-0.77285849
1970-01-01 00:00:11,-0.74080588
1970-01-01 00:00:12,-0.76217429
1970-01-01 00:00:13,-0.78354269
1970-01-01 00:00:14,-0.8262795
1970-01-01 00:00:15,-0.90106892
1970-01-01 00:00:16,-0.87970052
1970-01-01 00:00:17,-0.85833211
1970-01-01 00:00:18,-0.87970052
1970-01-01 00:00:19,-0.86901631
1970-01-01 00:00:20,-0.90106892
1970-01-01 00:00:21,-0.89038472
1970-01-01 00:00:22,-0.92243733
1970-01-01 00:00:23,-0.92243733
1970-01-01 00:00:24,-0.92243733
1970-01-01 00:00:25,-0.93312153
1970-01-01 00:00:26,-0.95448994
1970-01-01 00:00:27,-0.94380573
1970-01-01 00:00:28,-0.90106892
1970-01-01 00:00:29,-0.86901631
1970-01-01 00:00:30,-0.89038472
1970-01-01 00:00:31,-0.85833211
1970-01-01 00:00:32,-0.85833211
1970-01-01 00:00:33,-0.8155953
1970-01-01 00:00:34,-0.73012168
1970-01-01 00:00:35,-0.66601646
1970-01-01 00:00:36,-0.64464806
1970-01-01 00:00:37,-0.65533226
1970-01-01 00:00:38,-0.59122705
1970-01-01 00:00:39,-0.55917444
1970-01-01 00:00:40,-0.48438502
1970-01-01 00:00:41,-0.46301661
1970-01-01 00:00:42,-0.36685879
1970-01-01 00:00:43,-0.36685879
1970-01-01 00:00:44,-0.33480618
1970-01-01 00:00:45,-0.28138517
1970-01-01 00:00:46,-0.26001676
1970-01-01 00:00:47,-0.23864836
1970-01-01 00:00:48,-0.24933256
1970-01-01 00:00:49,-0.17454314
1970-01-01 00:00:50,-0.12112213
1970-01-01 00:00:51,-0.12112213
1970-01-01 00:00:52,-0.12112213
1970-01-01 00:00:53,-0.11043793
1970-01-01 00:00:54,-0.099753726
1970-01-01 00:00:55,-0.15317474
1970-01-01 00:00:56,-0.12112213
1970-01-01 00:00:57,-0.12112213
1970-01-01 00:00:58,-0.07838532
1970-01-01 00:00:59,-0.11043793
1970-01-01 00:01:00,-0.12112213
1970-01-01 00:01:01,-0.14249054
1970-01-01 00:01:02,-0.15317474
1970-01-01 00:01:03,-0.14249054
1970-01-01 00:01:04,-0.17454314
1970-01-01 00:01:05,-0.14249054
1970-01-01 00:01:06,-0.20659575
1970-01-01 00:01:07,-0.18522735
1970-01-01 00:01:08,-0.17454314
1970-01-01 00:01:09,-0.14249054
1970-01-01 00:01:10,-0.14249054
1970-01-01 00:01:11,-0.20659575
1970-01-01 00:01:12,-0.22796416
1970-01-01 00:01:13,-0.22796416
1970-01-01 00:01:14,-0.22796416
1970-01-01 00:01:15,-0.21727995
1970-01-01 00:01:16,-0.21727995
1970-01-01 00:01:17,-0.26001676
1970-01-01 00:01:18,-0.23864836
