t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:00:30+02:00,0.3500000000000085,0.5192307692307693,316.0,100.0,0.5192307692307693,0.0,340.0,30.5,0.0,0.0,0.0,0.0,0.0
2021-06-01 09:00:35+02:00,0.30000000000001137,0.38596491228070173,316.0,140.0,0.38596491228070173,0.0,400.0,268.42857142857144,47.714285714285715,0.0,0.0366657384201244,0.00519312044852574,0.0009742031018628977
2021-06-01 09:00:40+02:00,,,,,,,,,,,,,
2021-06-01 09:00:45+02:00,0.30000000000001137,0.43905589071492956,199.625,78.75,0.43905589071492956,0.0,613.25,458.0,583.5,0.0,0.019650556952928493,7.58442549060398,0.0
2021-06-01 09:00:50+02:00,,,,,,,,,,,,,
2021-06-01 09:00:55+02:00,,,,,,,,,,,,,
2021-06-01 09:01:00+02:00,0.30000000000001137,0.4274144753142542,191.88888888888889,78.88888888888889,0.4274144753142542,0.0,826.5555555555555,458.0,1282.111111111111,0.0,0.11331336312913318,0.06196105477704719,0.0
2021-06-01 09:01:05+02:00,,,,,,,,,,,,,
2021-06-01 09:01:10+02:00,0.30000000000001137,0.44664031620553357,183.0,70.0,0.44664031620553357,0.0,1091.0,458.0,1763.0,0.0,0.0,0.0,0.0
2021-06-01 09:01:15+02:00,0.30000000000001137,0.44664031620553357,183.0,70.0,0.44664031620553357,0.0,1091.0,458.0,2650.2,0.0,0.0,0.0,0.0
2021-06-01 09:01:20+02:00,0.30000000000001137,0.44664031620553357,183.0,70.0,0.44664031620553357,0.0,1091.0,458.0,3343.0,0.0,0.0,0.0,0.0
2021-06-01 09:01:25+02:00,,,,,,,,,,,,,
2021-06-01 09:01:30+02:00,,,,,,,,,,,,,
2021-06-01 09:01:35+02:00,,,,,,,,,,,,,
2021-06-01 09:01:40+02:00,0.30000000000000326,0.2922576145082539,118.42857142857143,87.14285714285714,0.09057694223934631,0.0,1171.0,486.57142857142856,3979.8571428571427,0.0,0.19930095932178182,6.847372576272831,0.5494505494506743
2021-06-01 09:01:45+02:00,0.25,0.3986013986013986,43.0,100.0,-0.3986013986013986,0.0,1485.125,1154.875,4634.4375,0.0,0.07867132867132866,0.014992630289288907,0.0016873650107985605
2021-06-01 09:01:50+02:00,0.25,0.10720795360397681,95.8,100.0,-0.0339685169842585,0.0,1808.0,1458.0,5231.6,0.0,0.38062568738886704,1.6530043548633588,0.0
2021-06-01 09:01:55+02:00,0.21071428571428794,0.33451083575358637,54.92857142857143,100.0,-0.31707287465365347,0.0,2133.4285714285716,1681.357142857143,5690.285714285715,0.0,0.3678674266909561,3.2681577834850413,0.049603174603157676
2021-06-01 09:02:00+02:00,0.20000000000000284,0.3986013986013986,43.0,100.0,-0.3986013986013986,0.0,2606.0,2567.0,6639.0,0.0,0.0,0.0,0.0
2021-06-01 09:02:05+02:00,0.20000000000000284,0.3986013986013986,43.0,100.0,-0.3986013986013986,0.0,2606.0,2817.0,6705.0,0.0,0.0,0.0,0.0
